Movie name,Movie genre,Speaker,Conversation id,utterance,Intent label,Character_label
the truman show,['drama'],TRUMAN,L578833,It doesn't matter.  I'll make other arrangements.,3,1
the truman show,['drama'],AGENT,L578833,You want to book the flight?,3,0
the truman show,['drama'],TRUMAN,L578833,That's right.,3,1
the truman show,['drama'],AGENT,L578833,I thought you were in a hurry.,3,0
the truman show,['drama'],TRUMAN,L578833,Why wouldn't I?,3,1
the truman show,['drama'],AGENT,L578833,I do have a fabulous rate on a cruise ship departing for Fiji tomorrow.  But you wouldn't want to do that.,3,0
the truman show,['drama'],TRUMAN,L578833,"You are a travel agent, aren't you?  ""Doris""?  Your job is to help people travel.",3,1
the truman show,['drama'],AGENT,L578833,It's the busy season.,3,0
the truman show,['drama'],TRUMAN,L578833,<i>A month.</i>,3,1
the truman show,['drama'],AGENT,L578833,I'm sorry.  I don't have anything for at least a month.,3,0
the truman show,['drama'],TRUMAN,L578833,Today.,3,1
the truman show,['drama'],AGENT,L578833,"When do you want to leave, remembering, of course, you do lose a day on the way there?",3,0
the truman show,['drama'],TRUMAN,L578833,One.,3,1
the truman show,['drama'],AGENT,L578833,Viti Levu.  For how many?,3,0
the truman show,['drama'],TRUMAN,L578833,"I'm sorry, er...the biggest one.",3,1
the truman show,['drama'],AGENT,L578833,<i>Where</i> in Fiji?  What island?,3,0
the truman show,['drama'],TRUMAN,L578833,<i>Fiji.</i>,3,1
the truman show,['drama'],AGENT,L578833,Where exactly?,3,0
the truman show,['drama'],TRUMAN,L578833,I want to book a flight to Fiji.,3,1
the truman show,['drama'],AGENT,L578833,I'm sorry to keep you.  How can I help?,3,0
the truman show,['drama'],CHRISTOF,L579146,Do it!,3,0
the truman show,['drama'],SIMEON,L579146,He doesn't care.,3,0
the truman show,['drama'],CHRISTOF,L579127,<i>Storm</i> music...Wagner...,3,0
the truman show,['drama'],SIMEON,L579127,What music?,3,0
the truman show,['drama'],CHRISTOF,L579127,Cue music...,3,0
the truman show,['drama'],CHRISTOF,L579113,Sweep the harbor.,3,0
the truman show,['drama'],SIMEON,L579113,Why would we--,3,0
the truman show,['drama'],CHRISTOF,L579113,We're not watching the sea.,3,0
the truman show,['drama'],SIMEON,L579110,It's just a matter of time.,3,0
the truman show,['drama'],CHRISTOF,L579110,What have we missed?,3,0
the truman show,['drama'],SIMEON,L579110,I'm sure we'll get him on this next sweep.,3,0
the truman show,['drama'],SIMEON,L579093,He has to be on foot.  He has the world's most recognizable face.  He can't disappear.,3,0
the truman show,['drama'],CHRISTOF,L579093,All prop cars accounted for?,3,0
the truman show,['drama'],SIMEON,L579093,We've declared a curfew.  Everyone else is at first positions.,3,0
the truman show,['drama'],SIMEON,L579075,He gave it back to his father.,3,0
the truman show,['drama'],CHRISTOF,L579075,Give me a shot from Truman's ring.,3,0
the truman show,['drama'],SIMEON,L579072,"He was tidying up his garbage.  I was going to call you.  But half-way through, he gave up and fell asleep.",3,0
